Name;Position;School;Stars;Rating
Dash Beierly;QB;Washington;3;0.8853
Riley Wormley;RB;USC;3;0.8853
Geron Johnson;RB;Mississippi State;3;0.885
Zion Johnson;RB;Cincinnati;3;0.8847
Carleton Preston;WR;Clemson;3;0.8844
Kentrell Rinehart;RB;NC State;3;0.8844
Eli Owens;TE;Michigan;3;0.8842
Lamason Waller;WR;BYU;3;0.8842
John Forster;RB;Illinois;3;0.8833
Ryan Ghea;TE;Auburn;3;0.8828
Dane Jones;WR;TCU;3;0.8825
D'Shaun Ford;RB;UL Monroe;3;0.8825
Anthony League;RB;California;3;0.8825
Dakotah Terrell;TE;Missouri;3;0.8822
Shane Marshall;RB;Georgia Tech;3;0.8822
Emaree Winston;TE;Texas;3;0.8819
Chris Denson;QB;Clemson;3;0.8814
Will Wilson;QB;NC State;3;0.8811
Preztynn Harrison;TE;Texas Tech;3;0.8811
Justin Baker;RB;Tennessee;3;0.8811
Davion Chandler;WR;Indiana;3;0.881
Bjorn Jurgensen;QB;Virginia;3;0.8803
Omar Mabson;RB;Auburn;3;0.8803
Bekkem Kritza;QB;Penn State;3;0.88
Daniel Anderson;RB;Northwestern;3;0.88
Elijiah Oehlke;QB;Wake Forest;3;0.8794
Treston Kini McMillan;QB;Washington;3;0.8794
Grady Adamson;QB;Georgia Tech;3;0.8794
David McComb;QB;Kansas;3;0.8794
Cutter Woods;QB;South Carolina;3;0.8794
Cedric Wyche;RB;Illinois;3;0.8794
AJ Brand;QB;Virginia Tech;3;0.8789
Leyton Stone;WR;Texas Tech;3;0.8781
Ethan Houck;QB;Liberty;3;0.8778
Conor Booth;RB;Nebraska;3;0.8775
Mason Heintschel;QB;Pittsburgh;3;0.8772
Mason Mims;QB;Louisville;3;0.8769
Wyatt Becker;QB;Utah;3;0.8769
Isaiah Groves;RB;Austin Peay;3;0.8769
Dejuan "DJ" Dugar;RB;Oklahoma State;3;0.8769
Stone Saunders;QB;Kentucky;3;0.8767
Isaiah West;RB;Ohio State;3;0.8767
Muizz Tounkara;WR;Florida;3;0.8764
Caden Piening;TE;UCF;3;0.8756
Hezekiah Millender;QB;Georgia;3;0.8753
Au’tori Newkirk;QB;North Carolina;3;0.875
Austin Carlisle;QB;Houston;3;0.8747
Julian McMahan;RB;Washington;3;0.8744
Chad Gasper;RB;Florida;3;0.8744
Braylon Collier;WR;Michigan State;3;0.8739
Carson Boyd;QB;Illinois;3;0.8736
Jayden Sellers;WR;South Carolina;3;0.8717
Reiman Zebert;TE;Stanford;3;0.8714
Weston Bryan;QB;Georgia Southern;3;0.8711
Leo Hannan;QB;Michigan State;3;0.8706
Xavier Ford;RB;Minnesota;3;0.87
Dan Mahan;QB;Duke;3;0.87
Scotty Fox;QB;West Virginia;3;0.8694
Justin Thurman;RB;Kansas;3;0.8694
Tray Finkle;RB;USF;3;0.8689
Jamarian Ficklin;QB;Utah;3;0.8683
Demon June;RB;North Carolna;3;0.8678
Daniel Bray;RB;Utah;3;0.8675
Edward Griffin;QB;Baylor;3;0.8672
Harry hassmann;WR;Arizona State;3;0.8672
Shaker Reisig;QB;Boston College;3;0.8664
Michael Tollefson;QB;Arizona State;3;0.8664
Wesley Yarbrough;RB;Arizona;3;0.8661
Zebulin Kinsey;QB;Cincinnati;3;0.8658
Nolan Keeney;QB;BYU;3;0.8658
Kelden Ryan;QB;Virginia Tech;3;0.8656
Malachi Coleman;RB;Syracuse;3;0.8656
Cross Nimmo;TE;Western Kentucky;3;0.8647
Tyvonn Byars;RB;Rice;3;0.8647
Bobby Ross;RB;None;3;0.8644
Dezmen Roebuck;WR;Washington;3;0.8642
Mason Drube;QB;Wyoming;3;0.8639
Cameron Settles;RB;Arkansas;3;0.8639
Javin Gordon;RB;Tulane;3;0.8633
Jon Denman;RB;TCU;3;0.8633
Koredell Bartley;WR;Wake Forest;3;0.8628
Dillon Duff;QB;Kansas State;3;0.8622
RJ Boyd;RB;NC State;3;0.8622
Shane Rosenthal;WR;UCLA;3;0.8619
Austin Simmons;TE;Washington;3;0.8608
Quaid Carr;RB;Washington;3;0.8603
Chris Jimerson Jr;QB;North Texas;3;0.86
Tojuan Peyton;RB;Georgia State;3;0.8592
Erick Smith;WR;Auburn;3;0.8581
Grant Holler;TE;Georgia State;3;0.8578
Luke Carney;QB;Syracuse;3;0.8578
Gabe Fields;RB;Vanderbilt;3;0.8567
Ja’Kyrian Turner;RB;Pittsburgh;3;0.855
Kingston Keanaaina;RB;BYU;3;0.855
D'ontae Fulton;WR;Georgia State;3;0.8536
Steele Pizzella;QB;Wake Forest;3;0.8533
Jayden Jackson;RB;Iowa State;3;0.85
Chad Warner;QB;UTEP;3;0.8469
Li'atama Amisone;QB;San Jose State;3;0.845
Nick Cyrus;QB;None;3;0.84
Jeremiah Scoby;TE;Bowling Green;3;0.84
Bryce Button;QB;Eastern Michigan;3;0.8378
